名稱,類別,基礎ATK/DEF,基礎穩定度,屬性分類,屬性名稱,屬性值1,屬性值2,說明
,,,,,attack_mp_recovery,8,,
,,,,obtain,type,smith,,
,,,,recipe,item_level,75,,
,,,,,item_difficulty,100,,
,,,,,cost,2000,,
,,,,,potential,30,,
,,,,,materials,"2周年銀牌．波姆#20,金屬#100",,
2周年寶劍 V,單手劍,142,80,stats,str,5%,,
,,,,,atk,5%,,
,,,,,magic_resistance,18,,
,,,,,attack_mp_recovery,10,,
,,,,obtain,type,smith,,
,,,,recipe,item_level,100,,
,,,,,item_difficulty,125,,
,,,,,cost,4000,,
,,,,,potential,32,,
,,,,,materials,"2周年金牌．波姆#20,金屬#200",,
3周年寶劍,單手劍,29,80,stats,str,1%,,
,,,,,atk,1%,,
,,,,,magic_resistance,6,,
,,,,,attack_mp_recovery,2,,
,,,,obtain,type,smith,,
,,,,recipe,item_level,1,,
,,,,,item_difficulty,25,,
,,,,,cost,10,,
,,,,,potential,19,,
,,,,,materials,3周年銅牌#20,,
3周年寶劍 II,單手劍,55,80,stats,str,2%,,
,,,,,atk,2%,,
,,,,,magic_resistance,9,,
,,,,,attack_mp_recovery,4,,
,,,,obtain,type,smith,,
,,,,recipe,item_level,25,,
,,,,,item_difficulty,50,,
,,,,,cost,100,,
,,,,,potential,23,,
,,,,,materials,3周年銀牌#20,,
3周年寶劍 III,單手劍,87,80,stats,str,3%,,
,,,,,atk,3%,,
,,,,,magic_resistance,12,,
,,,,,attack_mp_recovery,6,,
,,,,obtain,type,smith,,
,,,,recipe,item_level,50,,
,,,,,item_difficulty,75,,
,,,,,cost,1000,,
,,,,,potential,27,,
,,,,,materials,3周年金牌#20,,
3周年寶劍 IV,單手劍,117,80,stats,str,4%,,
,,,,,atk,4%,,
,,,,,magic_resistance,15,,
,,,,,attack_mp_recovery,8,,
,,,,obtain,type,smith,,
,,,,recipe,item_level,75,,
,,,,,item_difficulty,100,,
,,,,,cost,2000,,
,,,,,potential,30,,
,,,,,materials,"3周年獎牌．波姆#20,金屬#100",,
3周年寶劍 V,單手劍,142,80,stats,str,5%,,
,,,,,atk,5%,,
,,,,,magic_resistance,18,,
,,,,,attack_mp_recovery,10,,
,,,,obtain,type,smith,,
,,,,recipe,item_level,95,,
,,,,,item_difficulty,125,,
,,,,,cost,3000,,
,,,,,potential,?,,
,,,,,materials,"3周年銅牌．波姆#20,金屬#150",,
3周年寶劍 VI,單手劍,179,80,stats,str,6%,,
,,,,,max_hp,4%,,
,,,,,atk,6%,,
,,,,,magic_resistance,21,,
,,,,,attack_mp_recovery,10,,
,,,,obtain,type,smith,,
,,,,recipe,item_level,110,,
,,,,,item_difficulty,140,,
,,,,,cost,4000,,
,,,,,potential,?,,
,,,,,materials,"3周年銀牌．波姆#20,金屬#200",,
3周年寶劍 VII,單手劍,209,80,stats,str,6%,,
,,,,,max_hp,8%,,
,,,,,atk,6%,,
,,,,,magic_resistance,24,,
,,,,,attack_mp_recovery,10,,
,,,,obtain,type,smith,,
,,,,recipe,item_level,130,,
,,,,,item_difficulty,155,,
,,,,,cost,5000,,
,,,,,potential,?,,
,,,,,materials,"3周年金牌．波姆#20,金屬#250",,
曲折劍,單手劍,1,40,stats,aggro,30,,
,,,,,attack_mp_recovery,3,,
,,,,obtain,type,smith,,
,,,,recipe,item_level,?,,
,,,,,item_difficulty,0,,
,,,,,cost,150,,
,,,,,potential,?,,
,,,,,materials,"蝙蝠翅膀#25,四葉苜蓿草#1,布料#50,金屬#25",,
艾狄劍,單手劍,40,80,stats,max_hp,100,,
,,,,,atk,1%,,
,,,,,short_range_damage,1,,
,,,,obtain,type,mobs,,
,,,,,name,岩石工兵,,
,,,,,map,盧泰斯巨穴．地面,,
艾狄劍,單手劍,40,80,stats,max_hp,200,,
,,,,,atk,1%,,
,,,,,short_range_damage,2,,
,,,,obtain,type,smith,,
,,,,recipe,item_level,35,,
,,,,,item_difficulty,40,,
,,,,,cost,200,,
,,,,,potential,?,,
,,,,,materials,"哥布林鉤爪#25,波多姆的鰭#15,金屬#75,木材#25",,
虛狂黑劍,單手劍,94,80,stats,max_mp,100,,
,,,,,atk,3%,,
,,,,,cspd,250,,
,,,,,stronger_against_neutral,25,,
,,,,recipe,item_level,75,,
,,,,,item_difficulty,80,,
,,,,,cost,800,,
,,,,,potential,28,,
,,,,,materials,"災禍結晶#1,虛假的邪氣#2,金屬#500,獸品#250",,
虛狂黑劍,單手劍,94,80,stats,max_mp,300,,
,,,,,atk,3%,,
,,,,,cspd,500,,
,,,,,stronger_against_neutral,25,,
,,,,obtain,type,boss,,
,,,,,name,虛假黑騎士,,
,,,,,map,彼岸黃泉．最深處,,
閃雷,單手劍,80,80,stats,element_wind,1,,
,,,,,attack_mp_recovery,3,,
,,,,,short_range_damage,3,,
,,,,obtain,type,smith,,
,,,,recipe,item_level,65,,
,,,,,item_difficulty,70,,
,,,,,cost,350,,
,,,,,potential,26,,
,,,,,materials,"大螺絲釘#30,惡靈之爪#20,金屬#125,獸品#50",,
閃雷,單手劍,80,80,stats,element_wind,1,,
,,,,,attack_mp_recovery,3,,
,,,,,short_range_damage,2,,
,,,,obtain,type,mobs,,
,,,,,name,死神,,
,,,,,map,月之恩澤山．第1區,,
,,,,obtain,type,mobs,,
,,,,,name,死神,,
,,,,,map,月之恩澤山．第3區,,
蠻龍之劍,單手劍,27,80,stats,aspd,250,,
,,,,,cspd,750,,
,,,,obtain,type,boss,,
,,,,,name,迪賽爾蠻龍 (馬奇史東之路 2016),,
,,,,,map,活動,,
蠻龍之劍,單手劍,27,80,stats,aspd,500,,
,,,,,cspd,500,,
,,,,obtain,type,boss,,
,,,,,name,迪賽爾蠻龍,,
,,,,,map,尼塞爾山．山頂,,
蠻龍之劍,單手劍,27,80,stats,aspd,500,,
,,,,,cspd,150,,
,,,,obtain,type,smith,,
,,,,recipe,item_level,30,,
,,,,,item_difficulty,35,,
,,,,,cost,175,,
,,,,,potential,?,,
,,,,,materials,"蠻龍尾巴#1,蠻龍之爪#4,金屬#100,獸品#75",,
切肉刀,單手劍,100,80,stats,physical_pierce,10,,
,,,,,critical_damage,5%,,
,,,,,attack_mp_recovery,20,,
,,,,,anticipate,15,,
,,,,obtain,type,smith,,
,,,,recipe,item_level,?,,
,,,,,item_difficulty,0,,
,,,,,cost,100,,
,,,,,potential,?,,
,,,,,materials,南瓜鑽石#10,,
蛋糕刀,單手劍,179,75,stats,magic_resistance,-15,,
,,,,,critical_rate,15,,
,,,,,critical_rate,30%,,
,,,,,element_light,1,,
,,,,,stronger_against_neutral,25,,
,,,,obtain,type,smith,,
,,,,recipe,item_level,?,,
,,,,,item_difficulty,0,,
,,,,,cost,80,,
,,,,,potential,?,,
,,,,,materials,"神秘果實#3,魔法砂糖#1,魔素#80",,
鋼紋寶劍,單手劍,199,80,stats,natural_hp_regen,5%,,
,,,,,critical_damage,10,,
,,,,,element_earth,1,,
,,,,obtain,type,mobs,,
,,,,,name,恩澤神衛,,
,,,,,map,眾神之殿．第3區,,
,,,,obtain,type,mobs,,
,,,,,name,恩澤神衛,,
,,,,,map,眾神之殿．第2區,,
鋼紋寶劍,單手劍,199,80,stats,natural_hp_regen,20%,,
,,,,,critical_damage,10,,
,,,,,element_earth,1,,
,,,,obtain,type,smith,,
,,,,recipe,item_level,135,,
,,,,,item_difficulty,140,,
,,,,,cost,700,,
,,,,,potential,37,,
,,,,,materials,"神聖金屬#5,亮澤黑皮#20,金屬#200,木材#150",,
烤雞劍,單手劍,38,80,stats,max_hp,250,,
,,,,,attack_mp_recovery,1,,
,,,,,stronger_against_neutral,10,,
,,,,obtain,type,smith,,
,,,,recipe,item_level,?,,
,,,,,item_difficulty,0,,
,,,,,cost,10,,
,,,,,potential,?,,
,,,,,materials,"香檳#1,烤雞#1",,
明晰薔薇,單手劍,190,70,stats,max_mp,400,,
,,,,,matk,3%,,
,,,,,physical_pierce,50,,
,,,,,attack_mp_recovery,10,,
,,,,obtain,type,boss,,
,,,,,name,歐勒拉夫,,
,,,,,map,阿爾堤玫亞宮殿．大廊,,
明晰薔薇,單手劍,190,70,stats,max_mp,250,,
,,,,,matk,12%,,
,,,,,physical_pierce,25,,
,,,,,attack_mp_recovery,5,,
,,,,obtain,type,boss,,
,,,,,name,費莉妍 (馬奇史東之路 2018),,
,,,,,map,活動,,
明晰薔薇,單手劍,190,70,stats,max_mp,500,,
,,,,,matk,2%,,
,,,,,physical_pierce,25,,
,,,,,attack_mp_recovery,15,,
,,,,obtain,type,smith,,
,,,,recipe,item_level,130,,
,,,,,item_difficulty,135,,
,,,,,cost,1350,,
,,,,,potential,37,,
,,,,,materials,"以太金屬#1,黑騎士長的勳章#1,馬其納之血#10,金屬#1350",,
路錐之劍,單手劍,30,80,stats,max_hp,1000,,
,,,,,accuracy,30,,
,,,,,reduce_player_epicenter,4,,
,,,,,reduce_dmg_foe_epicenter,4,,
,,,,,reduce_dmg_bowling,4,,
,,,,obtain,type,smith,,
,,,,recipe,item_level,1,,
,,,,,item_difficulty,10,,
,,,,,cost,10,,
,,,,,potential,17,,
,,,,,materials,塑膠碎片#5,,
路錐之劍 II,單手劍,100,80,stats,max_hp,2000,,
,,,,,accuracy,60,,
,,,,,reduce_player_epicenter,8,,
,,,,,reduce_dmg_foe_epicenter,8,,
,,,,,reduce_dmg_bowling,8,,
,,,,obtain,type,smith,,
,,,,recipe,item_level,1,,
,,,,,item_difficulty,70,,
,,,,,cost,100,,
,,,,,potential,26,,
,,,,,materials,"塑膠碎片#5,聖光書頁#1",,
路錐之劍 III,單手劍,200,80,stats,max_hp,3000,,
,,,,,accuracy,90,,
,,,,,reduce_player_epicenter,12,,
,,,,,reduce_dmg_foe_epicenter,12,,
,,,,,reduce_dmg_bowling,12,,
,,,,obtain,type,smith,,
,,,,recipe,item_level,1,,
,,,,,item_difficulty,130,,
,,,,,cost,1000,,
,,,,,potential,35,,
,,,,,materials,"塑膠碎片#5,黑暗書頁#1",,
星月斧,單手劍,225,60,stats,max_hp,12%,,
,,,,,atk,5%,,
,,,,,magic_resistance,3,,
,,,,,critical_damage,4,,
,,,,,element_water,1,,
,,,,obtain,type,smith,,
,,,,recipe,item_level,?,,
,,,,,item_difficulty,0,,
,,,,,cost,300,,
,,,,,potential,?,,
,,,,,materials,傑克寶珠#10,,
暗將佩劍,單手劍,130,80,stats,vit,3%,,
,,,,,atk,4%,,
,,,,,guard_rate,6,,
,,,,,aggro,20,,
,,,,,element_dark,1,,
,,,,,magical_barrier,1000,,
,,,,obtain,type,boss,,
,,,,,name,凝態戰將,,
,,,,,map,普原生素體．最深處,,
暗將佩劍,單手劍,130,80,stats,vit,2%,,
,,,,,atk,4%,,
,,,,,guard_rate,6,,
,,,,,aggro,30,,
,,,,,element_dark,1,,
,,,,,magical_barrier,500,,
,,,,obtain,type,smith,,
,,,,recipe,item_level,95,,
,,,,,item_difficulty,100,,
,,,,,cost,1000,,
,,,,,potential,31,,
,,,,,materials,"碎裂的魔法大劍#2,高純度魔結晶#1,金屬#750,獸品#250",,
春櫻利刃,單手劍,160,80,stats,str,4%,,
,,,,,atk,4%,,
,,,,,physical_pierce,5,,
,,,,,dark_resistance,10,,
,,,,,element_light,1,,
,,,,,attack_mp_recovery,5,,
,,,,obtain,type,smith,,
,,,,recipe,item_level,?,,
,,,,,item_difficulty,0,,
,,,,,cost,1000,,
,,,,,potential,?,,
,,,,,materials,"櫻花水晶#25,潮濕的櫻樹枝#1,蝕櫻黑羽#1,金屬#90",,
艾路芬戰刃,單手劍,179,80,stats,atk,4%,,
,,,,,dodge,5%,,
,,,,,element_water,1,,
,,,,,motion_speed,1,,
,,,,,neutral_resistance,4,,
,,,,obtain,type,mobs,,
,,,,,name,冰凍魔像,,
,,,,,map,諾耶莉爾城．入口 (120-140),,
,,,,obtain,type,mobs,,
,,,,,name,冰凍魔像,,
,,,,,map,諾耶莉爾城．2樓  (120-140),,
艾路芬戰刃,單手劍,179,80,stats,atk,4%,,
,,,,,dodge,5%,,
,,,,,element_water,1,,
,,,,,motion_speed,1,,
,,,,,neutral_resistance,4,,
,,,,obtain,type,mobs,,
,,,,,name,磐石衛兵,,
,,,,,map,"米斯魯那山遺跡．基盤迴廊 ",,
,,,,obtain,type,mobs,,
,,,,,name,磐石衛兵,,
,,,,,map,米斯魯那山遺跡．中空迴廊,,
艾路芬戰刃,單手劍,179,80,stats,atk,4%,,
,,,,,dodge,10%,,
,,,,,element_water,1,,
,,,,,motion_speed,1,,
,,,,,neutral_resistance,5,,
,,,,obtain,type,smith,,
,,,,recipe,item_level,125,,
,,,,,item_difficulty,130,,
,,,,,cost,650,,
,,,,,potential,36,,
,,,,,materials,"白樹木材#20,龍頸蒼玉#5,金屬#200,木材#125",,
祭典劍,單手劍,200,1,stats,max_mp,500,,
,,,,,accuracy,30,,
,,,,,aliment_resistance,10,,
,,,,,element_fire,1,,
,,,,obtain,type,smith,,
,,,,recipe,item_level,?,,
,,,,,item_difficulty,0,,
,,,,,cost,21,,
,,,,,potential,?,,
,,,,,materials,"盛夏貝殼#50,撕下的書頁#30,銳利的熊爪#1,木材#100",,
漂漂獸之劍,單手劍,220,80,stats,atk,6%,,
,,,,,aggro,-25,,
,,,,,additional_meele,100,,
,,,,,reduce_dmg_floor,15,,
,,,,,reduce_dmg_charge,15,,
,,,,obtain,type,smith,,
,,,,recipe,item_level,145,,
,,,,,item_difficulty,150,,
,,,,,cost,1500,,
,,,,,potential,39,,
,,,,,materials,"蒼岩碎片#1,鮮豔頭冠#2,獸品#1000,金屬#500",,
漂漂獸之劍,單手劍,220,80,stats,atk,6%,,
,,,,,aggro,-75,,
,,,,,additional_meele,50,,
,,,,,reduce_dmg_floor,15,,
,,,,,reduce_dmg_charge,15,,
,,,,obtain,type,boss,,
,,,,,name,漂漂媽,,
,,,,,map,忘卻洞窟,,
羅馬短劍,單手劍,25,80,stats,aspd,5%,,
,,,,,critical_rate,1,,
,,,,obtain,type,mobs,,
,,,,,name,哥布林,,
,,,,,map,廢棄的寺院．第1區,,
,,,,obtain,type,mobs,,
,,,,,name,哥布林,,
,,,,,map,廢棄的寺院．第2區,,
羅馬短劍,單手劍,25,80,stats,aspd,10%,,
,,,,,critical_rate,3,,
,,,,obtain,type,smith,,
,,,,recipe,item_level,15,,
,,,,,item_difficulty,20,,
,,,,,cost,100,,
,,,,,potential,?,,
,,,,,materials,"鋸齒#25,破損的刀#25,金屬#50",,
勇者之劍（波姆）,單手劍,240,70,stats,max_hp,2000,,
,,,,,atk,10%,,
,,,,,aspd,-9999,,
,,,,,atk_down_vit,100,,
,,,,,atk_up_str,100,,
,,,,obtain,type,boss,,
,,,,,name,勇者波多姆 (10M DL),,
,,,,,map,索菲亞政廳,,
冰劍格拉斯,單手劍,101,80,stats,element_water,1,,
,,,,,attack_mp_recovery,5,,
,,,,,short_range_damage,1,,
,,,,,additional_magic,100,,
,,,,,atk_up_int,1,,
,,,,,atk_down_str,1,,
,,,,obtain,type,smith,,
,,,,recipe,item_level,80,,
,,,,,item_difficulty,85,,
,,,,,cost,850,,
,,,,,potential,28,,
,,,,,materials,"冰凍玫瑰#1,薄暮巨龍的藍翼#5,魔晶獸豪爪#3,魔素#425",,
伊爾文巨劍,單手劍,100,70,stats,vit,2%,,
,,,,,max_hp,750,,
,,,,,atk,3%,,
,,,,,def,10,,
,,,,,fractional_barrier,2,,
,,,,obtain,type,mobs,,
,,,,,name,鏽蝕鬥士,,
,,,,,map,昇華觀園．第1區,,
,,,,obtain,type,mobs,,
,,,,,name,鏽蝕鬥士,,
,,,,,map,昇華觀園．第3區,,
,,,,obtain,type,mobs,,
,,,,,name,菱紋企鵝,,
,,,,,map,納維達市街．十字路口 (80-100),,
,,,,obtain,type,mobs,,
,,,,,name,菱紋企鵝,,
,,,,,map,納維達市街．西 (80-100),,
,,,,obtain,type,mobs,,
,,,,,name,菱紋企鵝,,
,,,,,map,納維達市街．東 (80-100),,
伊爾文巨劍,單手劍,100,70,stats,vit,3%,,
,,,,,max_hp,1000,,
,,,,,atk,3%,,
,,,,,def,20,,
,,,,,fractional_barrier,4,,
,,,,obtain,type,smith,,
,,,,recipe,item_level,75,,
,,,,,item_difficulty,80,,
,,,,,cost,400,,
,,,,,potential,28,,
,,,,,materials,"秘銀礦石#5,生鏽的大斧#30,金屬#150,木材#50",,
皇族之劍,單手劍,140,80,stats,dex,4%,,
,,,,,atk,4%,,
,,,,,accuracy,6%,,
,,,,,stronger_against_neutral,25,,
,,,,,fractional_barrier,12,,
,,,,obtain,type,mobs,,
,,,,,name,激進派專業兵,,
,,,,,map,布萊耶研究所．2號樓,,
皇族之劍,單手劍,140,80,stats,dex,4%,,
,,,,,atk,4%,,
,,,,,accuracy,8%,,
,,,,,stronger_against_neutral,25,,
,,,,,fractional_barrier,16,,
,,,,obtain,type,smith,,
,,,,recipe,item_level,?,,
,,,,,item_difficulty,0,,
,,,,,cost,550,,
,,,,,potential,?,,
,,,,,materials,"翠珍珠#5,堅硬鉤爪#30,金屬#200,木材#75",,
靛晶劍,單手劍,109,80,stats,str,3%,,
,,,,,atk,3%,,
,,,,,critical_rate,9,,
,,,,,critical_damage,3,,
,,,,obtain,type,smith,,
,,,,recipe,item_level,85,,
,,,,,item_difficulty,90,,
,,,,,cost,450,,
,,,,,potential,29,,
,,,,,materials,"發熱劍鰭#20,異形刀刃#5,金屬#125,獸品#100",,
靛晶劍,單手劍,109,80,stats,str,3%,,
,,,,,atk,3%,,
,,,,,critical_rate,3,,
,,,,,critical_damage,3,,
,,,,obtain,type,mobs,,
,,,,,name,鏽蝕禁軍騎士,,
,,,,,map,暗之城．第2區,,
,,,,obtain,type,mobs,,
,,,,,name,鏽蝕禁軍騎士,,
,,,,,map,暗之城．第3區,,
,,,,obtain,type,mobs,,
,,,,,name,冰城魔鐘,,
,,,,,map,諾耶莉爾城．入口 (80-100),,
,,,,obtain,type,mobs,,
,,,,,name,冰城魔鐘,,
,,,,,map,諾耶莉爾城．2樓 (80-100),,
流雲木星劍,單手劍,44,80,stats,element_wind,1,,
,,,,,motion_speed,2,,
,,,,obtain,type,smith,,
,,,,recipe,item_level,?,,
,,,,,item_difficulty,0,,
,,,,,cost,10,,
,,,,,potential,?,,
,,,,,materials,"藍色包裝緞帶#20,水滴碎片#10,金屬#30",,
流雲木星劍 II,單手劍,310,80,stats,element_wind,1,,
,,,,,motion_speed,3,,
,,,,obtain,type,boss,,
,,,,,name,手工餅乾 (咖啡),,
,,,,,map,艾爾．斯卡羅,,
雄獅牙,單手劍,154,70,stats,max_hp,800,,
,,,,,atk,4%,,
,,,,,physical_pierce,4,,
,,,,,def,-15%,,
,,,,,dodge,15%,,
,,,,,short_range_damage,4,,
,,,,obtain,type,smith,,
,,,,recipe,item_level,105,,
,,,,,item_difficulty,110,,
,,,,,cost,1100,,
,,,,,potential,32,,
,,,,,materials,"機甲獅將的槌子碎片#2,結晶化的大爪#4,獸品#900,金屬#200",,
雄獅牙,單手劍,154,,stats,max_hp,1600,,
,,,,,atk,4%,,
,,,,,physical_pierce,8,,
,,,,,def,-30%,,
,,,,,dodge,30%,,
,,,,,short_range_damage,4,,
,,,,obtain,type,boss,,
,,,,,name,機甲獅將,,
,,,,,map,辛戈拉勒遺跡．3樓,,
皇女之劍,單手劍,229,75,stats,max_mp,150,,
,,,,,atk,6%,,
,,,,,critical_rate,25,,
,,,,,aggro,-15,,
,,,,,element_fire,1,,
,,,,obtain,type,boss,,
,,,,,name,薇芮娜．寇珥連生體,,
,,,,,map,阿爾堤玫亞宮殿．皇座之殿,,
皇女之劍,單手劍,229,75,stats,max_mp,450,,
,,,,,atk,6%,,
,,,,,critical_rate,20,,
,,,,,aggro,-10,,
,,,,,element_fire,1,,
,,,,obtain,type,smith,,
,,,,recipe,item_level,140,,
,,,,,item_difficulty,145,,
,,,,,cost,1450,,
,,,,,potential,38,,
,,,,,materials,"怪物皇帝的飾片#2,怪物皇帝之角#1,金屬#1000,魔素#450",,
長劍,單手劍,17,80,stats,max_hp,50,,
,,,,,accuracy,1,,
,,,,obtain,type,smith,,
,,,,recipe,item_level,5,,
,,,,,item_difficulty,10,,
,,,,,cost,50,,
,,,,,potential,?,,
,,,,,materials,"小劍柄#20,金屬#25",,
曼特恩戰刃,單手劍,200,80,stats,agi,5%,,
,,,,,atk,5%,,
,,,,,dodge,15%,,
,,,,,aspd,500,,
,,,,,absolute_dodge,1,,
,,,,obtain,type,smith,,
,,,,recipe,item_level,140,,
,,,,,item_difficulty,145,,
,,,,,cost,1450,,
,,,,,potential,38,,
,,,,,materials,"舊式刀刃素材#2,斯魯比尼亞魔法燈#1,金屬#1200,藥品#250",,
曼特恩戰刃,單手劍,200,80,stats,agi,10%,,
,,,,,atk,5%,,
,,,,,dodge,5%,,
,,,,,aspd,1000,,
,,,,,absolute_dodge,3,,
,,,,obtain,type,boss,,
,,,,,name,劍型曼特恩,,
,,,,,map,通地塔．入口,,
草質劍,單手劍,74,90,stats,matk,70,,
,,,,,magic_resistance,5,,
,,,,,critical_damage,10%,,
,,,,,element_earth,1,,
,,,,obtain,type,boss,,
,,,,,name,草龍耶弗,,
,,,,,map,維雪蝕刻地深處．先境之民村落,,
明晰薔薇．原型,單手劍,285,60,stats,max_mp,40,,
,,,,,physical_pierce,70,,
,,,,,accuracy,-45%,,
,,,,,aspd,-10%,,
,,,,,critical_rate,140%,,
,,,,,attack_mp_recovery,1,,
,,,,obtain,type,boss,,
,,,,,name,費莉妍 (馬奇史東之路 2018),,
,,,,,map,活動,,
,,,,,dye,B3C2,,
草質劍,單手劍,74,90,stats,matk,40,,
,,,,,magic_resistance,10,,
,,,,,critical_damage,9%,,
,,,,,element_earth,1,,
,,,,obtain,type,smith,,
,,,,recipe,item_level,65,,
,,,,,item_difficulty,70,,
,,,,,cost,700,,
,,,,,potential,26,,
,,,,,materials,"草龍之鱗#3,閃耀草龍花瓣#1,金屬#500,木材#200",,
刺劍,單手劍,56,80,stats,atk,2%,,
,,,,,physical_pierce,4,,
,,,,,aspd,10%,,
,,,,,evasion_rate,3,,
,,,,obtain,type,mobs,,
,,,,,name,徘徊的人影,,
,,,,,map,消失的城鎮,,
,,,,obtain,type,mobs,,
,,,,,name,徘徊的人影,,
,,,,,map,消失的城鎮．廣場,,
刺劍,單手劍,56,80,stats,atk,2%,,
,,,,,physical_pierce,6,,
,,,,,aspd,50,,
,,,,,evasion_rate,5,,
,,,,obtain,type,smith,,
,,,,recipe,item_level,45,,
,,,,,item_difficulty,50,,
,,,,,cost,250,,
,,,,,potential,?,,
,,,,,materials,"高級沙子#5,龍骨#30,金屬#100,木材#25",,
遺境刀,單手劍,44,70,stats,accuracy,5,,
,,,,,guard_rate,3,,
,,,,,element_earth,1,,
,,,,,short_range_damage,1,,
,,,,obtain,type,boss,,
,,,,,name,遺跡魔像,,
,,,,,map,左茲達遺跡．顛倒大廳,,
彎刀,單手劍,34,80,stats,atk,1%,,
,,,,,accuracy,2%,,
,,,,,critical_rate,1,,
,,,,obtain,type,mobs,,
,,,,,name,石騎士,,
,,,,,map,焦熱山峰．第1區,,
,,,,obtain,type,mobs,,
,,,,,name,石騎士,,
,,,,,map,焦熱山峰．第2區,,
彎刀,單手劍,34,80,stats,atk,1%,,
,,,,,accuracy,4,,
,,,,,critical_rate,2,,
,,,,obtain,type,smith,,
,,,,recipe,item_level,25,,
,,,,,item_difficulty,30,,
,,,,,cost,150,,
,,,,,potential,?,,
,,,,,materials,"折損的刀刃#20,尖牙#30,金屬#75",,
聖劍耶誕,單手劍,100,90,stats,accuracy,30,,
,,,,,dark_resistance,15,,
,,,,,element_light,1,,
,,,,obtain,type,smith,,
,,,,recipe,item_level,?,,
,,,,,item_difficulty,0,,
,,,,,cost,1000,,
,,,,,potential,?,,
,,,,,materials,"雪雕人偶#30,薄暮寶石#1,黑暗騎士的勳章#1",,
櫻花佩劍,單手劍,67,80,stats,max_mp,100,,
,,,,,atk,1%,,
,,,,,critical_damage,1,,
,,,,,guard_rate,5,,
,,,,,element_light,1,,
,,,,,attack_mp_recovery,1,,
,,,,obtain,type,smith,,
,,,,recipe,item_level,?,,
,,,,,item_difficulty,0,,
,,,,,cost,100,,
,,,,,potential,?,,
,,,,,materials,"櫻花寶石#50,折斷的櫻樹枝#1,櫻色水晶片#1,金屬#30",,
櫻花佩劍,單手劍,67,80,stats,max_mp,200,,
,,,,,atk,4%,,
,,,,,critical_damage,2,,
,,,,,guard_rate,5,,
,,,,,element_light,1,,
,,,,,attack_mp_recovery,3,,
,,,,,weapon_atk,300,,
,,,,obtain,type,boss,,
,,,,,name,滅基亞 (Nightmare),,
,,,,,map,"櫻雲城．天守閣頂層 ",,
,,,,,dye,A21B22,,
櫻花燈劍,單手劍,220,80,stats,dex,3%,,
,,,,,max_mp,500,,
,,,,,magic_resistance,20,,
,,,,,stronger_against_earth,25,,
,,,,,aliment_resistance,5,,
,,,,,element_earth,1,,
,,,,obtain,type,smith,,
,,,,recipe,item_level,?,,
,,,,,item_difficulty,0,,
,,,,,cost,2000,,
,,,,,potential,?,,
,,,,,materials,"櫻雲輝石#25,墨色櫻樹枝#1,櫻花瓣#1,金屬#60",,
弦月刀,單手劍,70,80,stats,agi,4%,,
,,,,,atk,2%,,
,,,,,dodge,6%,,
,,,,,critical_rate,10,,
,,,,obtain,type,smith,,
,,,,recipe,item_level,55,,
,,,,,item_difficulty,60,,
,,,,,cost,300,,
,,,,,potential,24,,
